fileName,programName,semesterOrder,subjectName,notes
(GE) B.A.(H) Hindi, Hindi ka vaishvik paridrshya Sem.IIIrd Dec.2025.pdf,B.A. (Hons.) Hindi,3,Hindi ka Vaishvik Paridrshya,"DU-formatted filename - extract: B.A.(H) Hindi, Sem III"
(GE) B.A.(P) Hindi, Hindi Gadhya_Udhav aur Vikash (Kha) Sem.IIIrd Dec.2025.pdf,B.A. (Programme),3,Hindi Gadya Udhav aur Vikash (Kha),"DU-formatted - B.A. Programme, Sem III"
(GE)-B.A.(H)  Hindi, Hindi ka vaishvik paridrshya Sem.IIIrd Dec.2025.pdf,B.A. (Hons.) Hindi,3,Hindi ka Vaishvik Paridrshya,"Duplicate/variant of earlier - DU format"
1.pdf,Unsorted (Pending Categorization),1,Unknown,"Generic scan - insufficient info"
1.pdf,Unsorted (Pending Categorization),1,Unknown,"Generic scan - insufficient info"
1.pdf,Unsorted (Pending Categorization),1,Unknown,"Generic scan - insufficient info"
12 century Nova (2).pdf,Unsorted (Pending Categorization),1,Unknown,"Vague - possibly History but 12th century unclear"
12th century world history 1900+1945.pdf,B.A. (Hons.) History,1,History,"Subject identifiable but date range is typo"
1427_62327502.pdf,Unsorted (Pending Categorization),1,Unknown,"Unidentifiable code"
47.pdf,Unsorted (Pending Categorization),1,Unknown,"Generic number - no subject info"
AEC Common Prog Group URDU -B Sem.IIIrd 2025.pdf,Common Pool (VAC / AEC / SEC),3,Urdu B,"AEC indicates Common Pool, Sem III"
AEC-Common Prog Group-URDU -B Sem.III Dec 2025.pdf,Common Pool (VAC / AEC / SEC),3,Urdu B,"Variant - AEC Common Pool, Sem III"
Adhunik Punjabi Kaav.pdf,B.A. (Hons.) Hindi,1,Adhunik Punjabi Kaav,"Punjabi subject - likely Hindi Honours"
Adhunik Punjabi Kahani  6294.pdf,B.A. (Hons.) Hindi,1,Adhunik Punjabi Kahani,"Punjabi subject - Hindi Honours"
Administrative Structure  2714.pdf,Common Pool (VAC / AEC / SEC),0,Administrative Structure,"Generic course - likely common pool"
Administrative Structure  2732.pdf,Common Pool (VAC / AEC / SEC),0,Administrative Structure,"Duplicate variant"
Advanced Biotechniques.pdf,B.Sc. (Hons.) Botany,5,Advanced Biotechniques,"Biotech subject - Botany Honours Sem 5"
Advanced sterochemistry.pdf,B.Sc. (Hons.) Chemistry,5,Advanced Stereochemistry,"Chemistry subject - likely honours sem 5"
Analysis ( LOCF).pdf,B.Sc. (Hons.) Mathematics,3,Analysis (LOCF),"LOCF = degree structure - Math subject"
Archaeology.pdf,B.A. (Hons.) History,1,Archaeology,"Archaeology subject - History programme"
Astronomy & Astrophysics 1144.pdf,B.Sc. (Hons.) Physics,3,Astronomy & Astrophysics,"Physics honours subject"
Astronomy & Astrophysics.pdf,B.Sc. (Hons.) Physics,3,Astronomy & Astrophysics,"Physics subject"
Astronomy & Astrophysics.pdf,B.Sc. (Hons.) Physics,3,Astronomy & Astrophysics,"Duplicate"
Astronomy & Astrophysics.pdf,B.Sc. (Hons.) Physics,3,Astronomy & Astrophysics,"Duplicate"
Attendance Notification.pdf,Unsorted (Pending Categorization),1,Unknown,"Not academic content"
B.A.(H) English DSC Literary Criticism  Sem.IIIrd Dec. 2025.pdf,B.A. (Hons.) English,3,Literary Criticism,"DU format: B.A.(H) English, DSC, Sem III"
B.A.(H) History, History of the USA_ Independence to Civil War (NEP UGCF) Sem.Ist Dec 2025.pdf,B.A. (Hons.) History,1,History of the USA (1776-1865),"DU format: B.A.(H) History, NEP UGCF, Sem I"
B.A.(P) Major Sem.III rd Optimisation Method for Economics Dec 2025.pdf,B.A. (Programme),3,Optimisation Method for Economics,"B.A. Programme, Major subject, Sem III"
B.A.(P) UGCF Stenography (English) I Discipline Course Modern Office Management Sem.III Dec 2025.pdf,B.A. (Programme),3,Stenography/Modern Office Management,"B.A. Programme UGCF, Sem III"
B.Com.(H) NEP Organisational Behaviour Sem.IIIrd Dec.2025.pdf,B.Com (Hons) — DU Official Syllabus,3,Organisational Behaviour,"B.Com(H) NEP, Sem III"
B.Com.(P) DSC, Principal of Marketing,Sem.IIIrd Dec.2025.pdf,B.Com. (Programme),3,Principles of Marketing,"B.Com Programme DSC, Sem III"
B.Sc.(P) Physical Science -NEP UGCF,Heat and Thermodynamics Sem.IIIrd Dec.2025.pdf,B.Sc. (Programme) Physical Science,3,Heat and Thermodynamics,"B.Sc. Phys Science NEP, Sem III"
BMATH 409.pdf,B.Sc. (Hons.) Mathematics,4,Advanced Mathematics (BMATH 409),"Math honours subject"
Basic Computational.pdf,B.Sc. (Hons.) Computer Science,1,Basic Computational Methods,"Computer Science subject"
Basic Computational.pdf,B.Sc. (Hons.) Computer Science,1,Basic Computational Methods,"Duplicate"
Basic Laboratory.pdf,B.Sc. (Programme) Physical Science,1,Basic Laboratory Techniques,"Lab course"
Basic Laboratory.pdf,B.Sc. (Programme) Physical Science,1,Basic Laboratory Techniques,"Duplicate"
Bioinformatics.pdf,B.Sc. (Hons.) Botany,5,Bioinformatics,"Bioinformatics - Botany honours"
Bioinformatics.pdf,B.Sc. (Hons.) Botany,5,Bioinformatics,"Duplicate"
Bioinformatics.pdf,B.Sc. (Hons.) Botany,5,Bioinformatics,"Duplicate"
Bioinformatics.pdf,B.Sc. (Hons.) Botany,5,Bioinformatics,"Duplicate"
Chemistry of Fragrances.pdf,B.Sc. (Hons.) Chemistry,4,Chemistry of Fragrances,"Applied chemistry subject"
Citizenship and goverenance.pdf,B.A. (Hons.) Political Science,1,Citizenship and Governance,"Political Science subject"
Classical Dynamics  VI.pdf,B.Sc. (Hons.) Physics,6,Classical Dynamics VI,"Physics honours sem 6"
Classical Dynamics  VI.pdf,B.Sc. (Hons.) Physics,6,Classical Dynamics VI,"Duplicate"
Classical Dynamics.pdf,B.Sc. (Hons.) Physics,3,Classical Dynamics,"Physics subject"
Classical Dynamics.pdf,B.Sc. (Hons.) Physics,3,Classical Dynamics,"Duplicate"
Colonialism.pdf,B.A. (Hons.) History,3,Colonialism,"History subject"
Communicating culture_Telling Representations and Leisure.pdf,B.A. (Hons.) English,6,Communicating Culture,"English honours subject"
Comp Al Sys & Related Softwares.pdf,B.Sc. (Hons.) Computer Science,5,Computer Algorithms & Systems,"CS honours sem 5"
Conflict and Peace Building.pdf,B.A. (Hons.) Sociology,5,Conflict and Peace Building,"Sociology honours"
Contemporary Debates in Indian Politics.pdf,B.A. (Hons.) Political Science,3,Contemporary Debates in Indian Politics,"Political Science sem 3"
Contemporary India  5091.pdf,B.A. (Hons.) Sociology,2,Contemporary India,"Sociology subject"
Contemporary India  5358.pdf,B.A. (Hons.) Sociology,2,Contemporary India,"Duplicate variant"
Contemporary India  Women and Empowerment.pdf,B.A. (Hons.) Sociology,3,Contemporary India: Women & Empowerment,"Sociology sem 3"
Contemporary India.pdf,B.A. (Hons.) Sociology,2,Contemporary India,"Base subject"
Course B 4368.pdf,GE Pool (Generic Electives),0,Elective Course B 4368,"GE pool elective"
Cryptography & Network Security.pdf,B.Sc. (Hons.) Computer Science,5,Cryptography & Network Security,"CS honours sem 5"
Cryptography and Network Security.pdf,B.Sc. (Hons.) Computer Science,5,Cryptography and Network Security,"Variant of above"
Cultural Transaction Between India & the World.pdf,B.A. (Hons.) English,4,Cultural Transactions Between India & World,"English honours sem 4"
Cyber Spherr & Security  4644.pdf,B.Sc. (Hons.) Computer Science,5,Cyber Security,"CS honours"
Cyber, Forensics  8679.pdf,B.Sc. (Hons.) Computer Science,6,Cyber Forensics,"CS honours sem 6"
DSE Computational Biology.pdf,B.Sc. (Hons.) Botany,5,DSE Computational Biology,"Botany honours sem 5"
DSE Detective Literature.pdf,B.A. (Hons.) English,5,DSE Detective Literature,"English honours sem 5"
DSE Detective Literature.pdf 3205.pdf,B.A. (Hons.) English,5,DSE Detective Literature,"Variant"
DSE Statistics 2103.pdf,B.Sc. (Hons.) Mathematics,4,DSE Statistics,"Math honours sem 4"
DSE Statistics.pdf,B.Sc. (Hons.) Mathematics,4,DSE Statistics,"Base"
DSe-1, C++ Programming For Mathematics.pdf,B.Sc. (Hons.) Mathematics,3,C++ Programming for Mathematics,"Math honours sem 3"
Data Minig 1.pdf,B.Sc. (Hons.) Computer Science,5,Data Mining 1,"CS honours (typo in name)"
Data Mining 1.pdf,B.Sc. (Hons.) Computer Science,5,Data Mining 1,"Variant"
Data Mining.pdf,B.Sc. (Hons.) Computer Science,5,Data Mining,"Base subject"
Date mining for the  knowledge discovery.pdf,B.Sc. (Hons.) Computer Science,5,Data Mining for Knowledge Discovery,"Variant with typo"
Desh Wand Di Filmkari.pdf,B.A. (Hons.) Hindi,4,Desh Wand Di Filmkari,"Punjabi/Hindi subject"
Digital Communication 2 6132.pdf,B.Sc. (Hons.) Physics,5,Digital Communication II,"Physics honours"
Digital Communication I.pdf,B.Sc. (Hons.) Physics,5,Digital Communication I,"Physics honours"
Discipline Specific Core.pdf,B.Sc. (Hons.) Botany,3,Discipline Specific Core - Botany,"DSC subject"
Discipline Specific Elective.pdf,B.Sc. (Hons.) Zoology,4,Discipline Specific Elective,"DSE subject"
Document 174.pdf,Unsorted (Pending Categorization),1,Unknown,"No identifiable content"
Economic Botany & Biotechnology.pdf,B.Sc. (Hons.) Botany,4,Economic Botany & Biotechnology,"Botany honours sem 4"
Economic Botany LOCF.pdf,B.Sc. (Hons.) Botany,2,Economic Botany (LOCF),"Botany honours sem 2"
Education & Development.pdf,Common Pool (VAC / AEC / SEC),0,Education & Development,"Common pool subject"
Electrical Circuit Analysis.pdf,B.Sc. (Hons.) Physics,3,Electrical Circuit Analysis,"Physics honours sem 3"
English Translation Studies Sem.IIIrd Dec. 2025.pdf,B.A. (Hons.) English,3,English Translation Studies,"B.A. English, Sem III (missing programme tag)"
Environmental Biotechnology & Management.pdf,B.Sc. (Hons.) Botany,5,Environmental Biotechnology & Management,"Botany honours sem 5"
Ethnobotany  5705.pdf,GE Pool (Generic Electives),0,Ethnobotany,"GE pool elective"
Ethnobotany  6471.pdf,GE Pool (Generic Electives),0,Ethnobotany,"Duplicate variant"
Family & Marriage  6772.pdf,B.A. (Hons.) Sociology,3,Family & Marriage,"Sociology honours sem 3"
Family and Marriage.pdf,B.A. (Hons.) Sociology,3,Family and Marriage,"Variant"
Gandhi & the Contemporary World.pdf,B.A. (Hons.) Political Science,4,Gandhi & the Contemporary World,"Political Science honours sem 4"
Gandhi & the Contemporary World.pdf,B.A. (Hons.) Political Science,4,Gandhi & the Contemporary World,"Duplicate"
Governance Issues & Chanllenges  6425.pdf,B.A. (Hons.) Political Science,6,Governance Issues & Challenges,"Political Science honours sem 6 (typo in name)"
Gurmat Kaav.pdf,B.A. (Hons.) Hindi,2,Gurmat Kaav,"Punjabi/Sikh studies - Hindi programme"
Gurmat Poetry,Punjabi Travelogue & Fnctnl Punjabi.pdf,B.A. (Hons.) Hindi,3,Gurmat Poetry,"Punjabi studies - Hindi honours"
Heritage and Tourism ( NC ).pdf,Common Pool (VAC / AEC / SEC),0,Heritage and Tourism (NC),"Common pool subject (NC=Non-Core)"
Heritage and Tourism (NC)(1).pdf,Common Pool (VAC / AEC / SEC),0,Heritage and Tourism (NC),"Duplicate variant"
Histories Inequalities.pdf,B.A. (Hons.) History,3,Histories of Inequalities,"History honours sem 3"
Histories of Inequalities.pdf,B.A. (Hons.) History,3,Histories of Inequalities,"Variant"
History & Archaeology.pdf,B.A. (Hons.) History,2,History & Archaeology,"History honours sem 2"
History of Pre Colonial Southeastr Asia.pdf,B.A. (Hons.) History,4,History of Pre-Colonial Southeast Asia,"History honours sem 4"
History of Punjabi Lit From 1900-Present.pdf,B.A. (Hons.) Hindi,4,History of Punjabi Literature,"Hindi honours sem 4"
History of Punjabi Literature ( from 1901 AD to Present Period).pdf,B.A. (Hons.) Hindi,4,History of Punjabi Literature 1901-Present,"Variant with date range"
History of Punjabi Literature 1901-present period.pdf,B.A. (Hons.) Hindi,4,History of Punjabi Literature 1901-Present,"Variant"
History of Punjabi Literature.pdf,B.A. (Hons.) Hindi,4,History of Punjabi Literature,"Base subject"
History of South East Asia.pdf,B.A. (Hons.) History,4,History of Southeast Asia,"History honours sem 4"
History of South East Asia.pdf,B.A. (Hons.) History,4,History of Southeast Asia,"Duplicate"
IFP in a Globalizing world.pdf,Common Pool (VAC / AEC / SEC),0,Indian Formation & Philosophy in Globalizing World,"IFP = common pool"
IFP in a Globalizing world.pdf,Common Pool (VAC / AEC / SEC),0,Indian Formation & Philosophy in Globalizing World,"Duplicate"
Immunology.pdf,B.Sc. (Hons.) Zoology,4,Immunology,"Zoology honours sem 4"
Immunology.pdf,B.Sc. (Hons.) Zoology,4,Immunology,"Duplicate"
Immunology.pdf,B.Sc. (Hons.) Zoology,4,Immunology,"Duplicate"
Immunology.pdf,B.Sc. (Hons.) Zoology,4,Immunology,"Duplicate"
Indian Art & Architecture.pdf,B.A. (Hons.) History,2,Indian Art & Architecture,"History honours sem 2"
Indian Art & Architecture.pdf,B.A. (Hons.) History,2,Indian Art & Architecture,"Duplicate"
Indian Social Institutions & Polity.pdf,B.A. (Hons.) Sociology,1,Indian Social Institutions & Polity,"Sociology honours sem 1"
Indian Social Institutions & Polity.pdf,B.A. (Hons.) Sociology,1,Indian Social Institutions & Polity,"Duplicate"
Indian Social Institutions & Polity.pdf,B.A. (Hons.) Sociology,1,Indian Social Institutions & Polity,"Duplicate"
Industrial & Environmental Microbiology.pdf,B.Sc. (Hons.) Botany,4,Industrial & Environmental Microbiology,"Botany honours sem 4"
Industrial Chemicals & Environment  9276.pdf,B.Sc. (Hons.) Chemistry,5,Industrial Chemicals & Environment,"Chemistry honours sem 5"
Integrative Systems Biology & Bioinformatics.pdf,B.Sc. (Hons.) Botany,5,Integrative Systems Biology & Bioinformatics,"Botany honours sem 5"
Intermediate Mathematical.pdf,B.Sc. (Hons.) Mathematics,2,Intermediate Mathematics,"Math honours sem 2"
Investigating Inequalities  2359.pdf,B.A. (Hons.) Sociology,3,Investigating Inequalities,"Sociology honours sem 3"
Investigating Inequalities.pdf,B.A. (Hons.) Sociology,3,Investigating Inequalities,"Base"
Issues in Contemporary Politics.pdf,B.A. (Hons.) Political Science,4,Issues in Contemporary Politics,"Political Science honours sem 4"
Kabirdas.pdf,B.A. (Hons.) Hindi,3,Kabirdas (Literature),"Punjabi/Sikh studies - Hindi honours"
Kisani Jeevan di Punjabi Kahani.pdf,B.A. (Hons.) Hindi,2,Kisani Jeevan di Punjabi Kahani,"Punjabi subject - Hindi honours"
Krishna Sobti.pdf,B.A. (Hons.) Hindi,4,Krishna Sobti (Literature),"Hindi literature - honours sem 4"
Light & Matter.pdf,B.Sc. (Hons.) Physics,2,Light & Matter,"Physics honours sem 2"
Light & Matter.pdf,B.Sc. (Hons.) Physics,2,Light & Matter,"Duplicate"
Liner programming and applications.pdf,B.Sc. (Hons.) Mathematics,5,Linear Programming and Applications,"Math honours sem 5"
Lok Natya.pdf,B.A. (Hons.) Hindi,2,Lok Natya (Folk Drama),"Hindi honours sem 2"
Lok Natya.pdf,B.A. (Hons.) Hindi,2,Lok Natya (Folk Drama),"Duplicate"
Machine Learning  2336.pdf,B.Sc. (Hons.) Computer Science,5,Machine Learning,"CS honours sem 5"
Machine Learning 13356.pdf,B.Sc. (Hons.) Computer Science,5,Machine Learning,"Variant with code"
Marriage Family and Kinship.pdf,B.A. (Hons.) Sociology,2,Marriage, Family and Kinship,"Sociology honours sem 2"
Mathematical Data Science 10178.pdf,B.Sc. (Hons.) Mathematics,5,Mathematical Data Science,"Math honours sem 5"
Mathematical Data Science 10811.pdf,B.Sc. (Hons.) Mathematics,5,Mathematical Data Science,"Variant"
Mathematical Data Science 9545.pdf,B.Sc. (Hons.) Mathematics,5,Mathematical Data Science,"Variant"
Mathematical Data Science.pdf,B.Sc. (Hons.) Mathematics,5,Mathematical Data Science,"Base"
Mathematical Finance.pdf,B.Sc. (Hons.) Mathematics,5,Mathematical Finance,"Math honours sem 5"
Mathematical Finance.pdf,B.Sc. (Hons.) Mathematics,5,Mathematical Finance,"Duplicate"
Mathematical Python  2476.pdf,B.Sc. (Hons.) Mathematics,4,Mathematical Python,"Math honours sem 4"
Mathematical Python.pdf,B.Sc. (Hons.) Mathematics,4,Mathematical Python,"Base"
Mathematical statistics.pdf,B.Sc. (Hons.) Mathematics,3,Mathematical Statistics,"Math honours sem 3"
Medicinal Botany.pdf,B.Sc. (Hons.) Botany,3,Medicinal Botany,"Botany honours sem 3"
Medicinal Botany.pdf,B.Sc. (Hons.) Botany,3,Medicinal Botany,"Duplicate"
Metrics space.pdf,B.Sc. (Hons.) Mathematics,2,Metric Space,"Math honours sem 2 (typo)"
Microbiology & Plant Microbe Interactionas.pdf,B.Sc. (Hons.) Botany,3,Microbiology & Plant Microbe Interactions,"Botany honours sem 3"
Molecular Spectroscopy & Structural Analysis.pdf,B.Sc. (Hons.) Chemistry,4,Molecular Spectroscopy & Structural Analysis,"Chemistry honours sem 4"
Netwrok analysis and Analog Electronic.pdf,B.Sc. (Hons.) Physics,5,Network Analysis and Analog Electronics,"Physics honours sem 5"
Novel Inorganic Solids 1188.pdf,B.Sc. (Hons.) Chemistry,4,Novel Inorganic Solids,"Chemistry honours sem 4"
Novel Inorganic Solids.pdf,B.Sc. (Hons.) Chemistry,4,Novel Inorganic Solids,"Base"
Novel Inorganic Solids.pdf,B.Sc. (Hons.) Chemistry,4,Novel Inorganic Solids,"Duplicate"
Novel ingorganic chemistry.pdf,B.Sc. (Hons.) Chemistry,4,Novel Inorganic Chemistry,"Variant"
Operating systems.pdf,B.Sc. (Hons.) Computer Science,5,Operating Systems,"CS honours sem 5"
Organisation democracy  and Industrial relations.pdf,B.A. (Hons.) Political Science,5,Organisation, Democracy and Industrial Relations,"Political Science honours sem 5"
Pharmaceutical Chemistry 1681.pdf,B.Sc. (Hons.) Chemistry,5,Pharmaceutical Chemistry,"Chemistry honours sem 5"
Pharmaceutical Chemistry.pdf,B.Sc. (Hons.) Chemistry,5,Pharmaceutical Chemistry,"Base"
Physics of Materials.pdf,B.Sc. (Hons.) Physics,4,Physics of Materials,"Physics honours sem 4"
Plant Physionlogy  1112.pdf,B.Sc. (Hons.) Botany,3,Plant Physiology,"Botany honours sem 3"
Plant Resoursces & Economic Botany.pdf,B.Sc. (Hons.) Botany,2,Plant Resources & Economic Botany,"Botany honours sem 2"
Politics of Globalisation.pdf,B.A. (Hons.) Political Science,3,Politics of Globalisation,"Political Science honours sem 3"
Politics of Globalisation.pdf,B.A. (Hons.) Political Science,3,Politics of Globalisation,"Duplicate"
Politics of Nature.pdf,B.A. (Hons.) Political Science,4,Politics of Nature,"Political Science honours sem 4"
Politics of Nature.pdf,B.A. (Hons.) Political Science,4,Politics of Nature,"Duplicate"
Principles of Immunology.pdf,B.Sc. (Hons.) Zoology,3,Principles of Immunology,"Zoology honours sem 3"
Principles of Immunology.pdf,B.Sc. (Hons.) Zoology,3,Principles of Immunology,"Duplicate"
Punjabi Autography.pdf,B.A. (Hons.) Hindi,4,Punjabi Autography,"Punjabi studies - Hindi honours"
Punjabi Autography.pdf,B.A. (Hons.) Hindi,4,Punjabi Autography,"Duplicate"
Punjabi Drama  7757.pdf,B.A. (Hons.) Hindi,4,Punjabi Drama,"Hindi honours sem 4"
Punjabi Drama, Life Sketch & Functional Punjabi.pdf,B.A. (Hons.) Hindi,4,Punjabi Drama & Functional Punjabi,"Hindi honours sem 4"
Punjabi Historical Novel  7644.pdf,B.A. (Hons.) Hindi,3,Punjabi Historical Novel,"Hindi honours sem 3"
Punjabi Lokdhara Ate Sabhiyachar.pdf,B.A. (Hons.) Hindi,2,Punjabi Lokdhara Ate Sabhiyachar,"Punjabi studies - Hindi honours sem 2"
Punjabi Novel, Drama & Functional Punjabi.pdf,B.A. (Hons.) Hindi,5,Punjabi Novel, Drama & Functional Punjabi,"Hindi honours sem 5"
Punjabi Novel.pdf,B.A. (Hons.) Hindi,3,Punjabi Novel,"Hindi honours sem 3"
Punjabi Novel.pdf,B.A. (Hons.) Hindi,3,Punjabi Novel,"Duplicate"
Quantitative Methods.pdf,B.Sc. (Hons.) Mathematics,3,Quantitative Methods,"Math honours sem 3"
Reading Ethnographies VI.pdf,B.A. (Hons.) English,6,Reading Ethnographies VI,"English honours sem 6"
Reading Ethnographies VI.pdf,B.A. (Hons.) English,6,Reading Ethnographies VI,"Duplicate"
Reading Ethnographies.pdf,B.A. (Hons.) English,6,Reading Ethnographies,"English honours"
Reading Ethnographies.pdf,B.A. (Hons.) English,6,Reading Ethnographies,"Duplicate"
Religion & Society.pdf,B.A. (Hons.) Sociology,2,Religion & Society,"Sociology honours sem 2"
Renewable Energy & Energy Harvesting.pdf,B.Sc. (Hons.) Physics,5,Renewable Energy & Energy Harvesting,"Physics honours sem 5"
Renewable Energy and Energy Harvesting.pdf,B.Sc. (Hons.) Physics,5,Renewable Energy and Energy Harvesting,"Variant"
Renewable Energy and Energy Harvesting.pdf,B.Sc. (Hons.) Physics,5,Renewable Energy and Energy Harvesting,"Duplicate"
Research mythology.pdf,B.A. (Hons.) History,5,Research Methodology,"History honours sem 5 (typo)"
Scan.pdf,Unsorted (Pending Categorization),1,Unknown,"Generic scan - no subject info"
Social Inequalities.pdf,B.A. (Hons.) Sociology,3,Social Inequalities,"Sociology honours sem 3"
Social Inequalities.pdf,B.A. (Hons.) Sociology,3,Social Inequalities,"Duplicate"
Society Through the Visual.pdf,B.A. (Hons.) Sociology,4,Society Through the Visual,"Sociology honours sem 4"
Society through the Visual  7196.pdf,B.A. (Hons.) Sociology,4,Society Through the Visual,"Variant"
Sociologu of Disability.pdf,B.A. (Hons.) Sociology,5,Sociology of Disability,"Sociology honours sem 5"
Sociology & Social Policy   2503.pdf,B.A. (Hons.) Sociology,5,Sociology & Social Policy,"Sociology honours sem 5"
Sociology & Social Policy.pdf,B.A. (Hons.) Sociology,5,Sociology & Social Policy,"Base"
Sociology of Health & Medicine VI.pdf,B.A. (Hons.) Sociology,6,Sociology of Health & Medicine VI,"Sociology honours sem 6"
Sociology of Health & Medicine.pdf,B.A. (Hons.) Sociology,6,Sociology of Health & Medicine,"Base"
Sociology of Media.pdf,B.A. (Hons.) Sociology,4,Sociology of Media,"Sociology honours sem 4"
Sociology of Work  4213.pdf,B.A. (Hons.) Sociology,5,Sociology of Work,"Sociology honours sem 5"
Sociology of Work.pdf,B.A. (Hons.) Sociology,5,Sociology of Work,"Base"
Sociology of Work.pdf,B.A. (Hons.) Sociology,5,Sociology of Work,"Duplicate"
Sociology of work 7003.pdf,B.A. (Hons.) Sociology,5,Sociology of Work,"Variant"
Sources and the Practice of History II  7625.pdf,B.A. (Hons.) History,4,Sources and the Practice of History II,"History honours sem 4"
State Politics in India 5503.pdf,B.A. (Hons.) Political Science,1,State Politics in India,"Political Science honours sem 1"
State Politics in India 5503.pdf,B.A. (Hons.) Political Science,1,State Politics in India,"Duplicate"
Techniques.pdf,Unsorted (Pending Categorization),1,Unknown,"Generic - technique for what?"
Techniques.pdf,Unsorted (Pending Categorization),1,Unknown,"Duplicate"
UN & Global Conflicts.pdf,B.A. (Hons.) Political Science,4,UN & Global Conflicts,"Political Science honours sem 4"
UN & Global Conflicts.pdf,B.A. (Hons.) Political Science,4,UN & Global Conflicts,"Duplicate"
Understanding Ethnographies.pdf,B.A. (Hons.) English,6,Understanding Ethnographies,"English honours sem 6"
Understanding Globalisation  VI.pdf,B.A. (Hons.) Sociology,6,Understanding Globalisation VI,"Sociology honours sem 6"
Understanding Globalisation.pdf,B.A. (Hons.) Sociology,6,Understanding Globalisation,"Base"
Understanding Human Right.pdf,B.A. (Hons.) Political Science,5,Understanding Human Rights,"Political Science honours sem 5"
Womenin Indian History.pdf,B.A. (Hons.) History,3,Women in Indian History,"History honours sem 3"
advanced linear algorithm.pdf,B.Sc. (Hons.) Computer Science,5,Advanced Linear Algorithm,"CS honours sem 5"
business resrearch methodology.pdf,B.A. (Hons.) Sociology,5,Business Research Methodology,"Sociology honours sem 5"
foundation of astrophysics.pdf,B.Sc. (Hons.) Physics,4,Foundation of Astrophysics,"Physics honours sem 4"
fundamentals of topology(2).pdf,B.Sc. (Hons.) Mathematics,4,Fundamentals of Topology,"Math honours sem 4"
karidas.pdf,B.A. (Hons.) Hindi,3,Kalidasa (Literature),"Sanskrit/Hindi literature - honours"
perspective on South Indian.pdf,B.A. (Hons.) History,5,Perspectives on South India,"History honours sem 5"
phashatya kavyashastara.pdf,B.A. (Hons.) Sanskrit,2,Prashasty Kavyashastra,"Sanskrit honours sem 2"
physics of device.pdf,B.Sc. (Hons.) Physics,4,Physics of Devices,"Physics honours sem 4"
ram kavya parampara.pdf,B.A. (Hons.) Hindi,2,Ram Kavya Parampara,"Punjabi/Hindi literature - honours sem 2"
research method in politics.pdf,B.A. (Hons.) Political Science,4,Research Methods in Politics,"Political Science honours sem 4"
scan0001.pdf,Unsorted (Pending Categorization),1,Unknown,"Generic scan - appears 25+ times"
scan0002.pdf,Unsorted (Pending Categorization),1,Unknown,"Generic scan"
scan0003.pdf,Unsorted (Pending Categorization),1,Unknown,"Generic scan"
scan0004.pdf,Unsorted (Pending Categorization),1,Unknown,"Generic scan"
scan0005.pdf,Unsorted (Pending Categorization),1,Unknown,"Generic scan"
